date,ibex_ret_d,n_stocks,macro_sent,macro_signal,macro_docs,macro_wsum,has_macro
2023-01-03,0.005906427005955179,27,,,,,False
2023-01-04,0.01863544269967635,27,,,,,False
2023-01-05,0.0031181939379467056,27,,,,,False
2023-01-06,0.014916610745863599,27,,,,,False
2023-01-09,0.0042073081254413525,27,,,,,False
2023-01-10,0.002963029479375167,27,,,,,False
2023-01-11,0.0007338731003552284,27,,,,,False
2023-01-12,0.011002461698350985,27,,,,,False
2023-01-13,0.008324607170764976,27,,,,,False
2023-01-16,-0.0006660957333197591,27,,,,,False
2023-01-17,0.002692770144177615,27,,,,,False
2023-01-18,0.0048842201594454515,27,,,,,False
2023-01-19,-0.015805614549930156,27,,,,,False
2023-01-20,0.012628517907998625,27,,,,,False
2023-01-23,0.0031566266275739967,27,,,,,False
2023-01-24,0.0018810353010020855,27,,,,,False
2023-01-25,0.002402352465058916,27,,,,,False
2023-01-26,0.011161232121993126,27,,,,,False
2023-01-27,0.004823320822208344,27,,,,,False
2023-01-30,-0.004819758800576176,27,,,,,False
2023-01-31,-0.004887441983165502,27,,,,,False
2023-02-01,0.0046458421106870575,27,,,,,False
2023-02-02,0.01168532064373508,27,,,,,False
2023-02-03,-0.004343114332710762,27,,,,,False
2023-02-06,-0.0062307612009104675,27,,,,,False
2023-02-07,0.0024608389653358836,27,,0.0,2.0,0.0,True
2023-02-08,0.007058802060619308,27,,,,,False
2023-02-09,0.002243601120237779,27,,,,,False
2023-02-10,-0.010412321665435919,27,,,,,False
2023-02-13,0.00869533933467341,27,,,,,False
2023-02-14,0.005827111162707391,27,,,,,False
2023-02-15,0.0030307723413728173,27,,,,,False
2023-02-16,0.004152878390982415,27,,,,,False
2023-02-17,0.0026417009252824204,27,,,,,False
2023-02-20,-0.0059559518856641906,27,,,,,False
2023-02-21,-0.0008782918742830186,27,,,,,False
2023-02-22,-0.01376984731852803,27,,,,,False
2023-02-23,0.008404425778809102,27,,,,,False
2023-02-24,-0.0025828870443808803,27,,,,,False
2023-02-27,0.010162060190271273,27,,,,,False
2023-02-28,0.0027421419352515,27,,,,,False
2023-03-01,-0.006085204720232004,27,,,,,False
2023-03-02,0.000958977638296875,27,,,,,False
2023-03-03,0.01250570940888696,27,,,,,False
2023-03-06,0.0014588654691803187,27,,,,,False
2023-03-07,-0.007088821209957558,27,,,,,False
2023-03-08,0.005079563531232121,27,,,,,False
2023-03-09,-0.005090607574802414,27,,,,,False
2023-03-10,-0.015645366847857452,27,,,,,False
2023-03-13,-0.03369785618956012,27,,,,,False
2023-03-14,0.019364016618952477,27,,,,,False
2023-03-15,-0.04590919101003156,27,,,,,False
2023-03-16,0.006755314358632706,27,,,,,False
2023-03-17,-0.016899841796299466,27,,,,,False
2023-03-20,0.009242594337623665,27,,,,,False
2023-03-21,0.02580599681224987,27,,,,,False
2023-03-22,-0.008153710037451134,27,,,,,False
2023-03-23,-0.002959598787571933,27,,,,,False
2023-03-24,-0.021929645695158533,27,-0.5016745328903198,1.0,1.0,1.0,True
2023-03-27,0.011417243132399455,27,,,,,False
2023-03-28,0.0024620659312057265,27,,,,,False
2023-03-29,0.01537556563529785,27,,,,,False
2023-03-30,0.014925469980278508,27,,,,,False
2023-03-31,0.001880891360198085,27,,,,,False
2023-04-03,-0.003963390879615054,27,,,,,False
2023-04-04,-0.0008732639167063123,27,,,,,False
2023-04-05,0.0049807448699776,27,,,,,False
2023-04-06,0.011105787537507518,27,,,,,False
2023-04-11,-9.009145728819287e-05,27,,,,,False
2023-04-12,0.0013597403235721406,27,,,,,False
2023-04-13,0.0057055069307964034,27,,,,,False
2023-04-14,0.002622578857121821,27,,,,,False
2023-04-17,0.005139298573147988,27,,,,,False
2023-04-18,0.0016150574466690351,27,,,,,False
2023-04-19,0.007147478805268341,27,,,,,False
2023-04-20,-0.0044627929732544164,27,,,,,False
2023-04-21,-0.005704108581067081,27,,,,,False
2023-04-24,-0.003166995128094822,27,,,,,False
2023-04-25,-0.01223742947012182,27,,,,,False
2023-04-26,-0.00041766690868942993,27,,,,,False
2023-04-27,0.0073769042838177975,27,,,,,False
2023-04-28,-0.007509782914865704,27,,,,,False
2023-05-02,-0.017878615481213847,27,,,,,False
2023-05-03,-0.0005944881716865559,27,,,,,False
2023-05-04,-0.005262689357383128,27,,,,,False
2023-05-05,0.017681003279600004,27,,,,,False
2023-05-08,0.005668316304232011,27,,,,,False
2023-05-09,0.0016413584335245148,27,,,,,False
2023-05-10,-0.0019591241661068314,27,,,,,False
2023-05-11,0.00045981566004645497,27,,0.0,1.0,0.0,True
2023-05-12,0.005617633440085677,27,,,,,False
2023-05-15,0.0003854420776885112,27,,,,,False
2023-05-16,-0.0020874787524463073,27,,,,,False
2023-05-17,0.003956715941223237,27,,,,,False
2023-05-18,0.0008244424808211291,27,,,,,False
2023-05-19,0.0032671054338660735,27,,,,,False
2023-05-22,0.007507573964850989,27,,,,,False
2023-05-23,-0.0020034588916202477,27,,,,,False
2023-05-24,-0.011913915206620029,27,,,,,False
2023-05-25,-0.004067247608670532,27,,,,,False
2023-05-26,0.006314071706633845,27,,,,,False
2023-05-29,0.0017513085387733868,27,,,,,False
2023-05-30,-0.0043989124067928065,27,,,,,False
2023-05-31,-0.018109773682831266,27,,,,,False
2023-06-01,0.012225382968158338,27,,,,,False
2023-06-02,0.018880700281966593,27,,,,,False
2023-06-05,-0.0019591316928656934,27,,,,,False
2023-06-06,0.0030487738912621204,27,,,,,False
2023-06-07,0.002687005124534956,27,,,,,False
2023-06-08,-0.0018488190372652048,27,,,,,False
2023-06-09,-0.000590241081895895,27,,,,,False
2023-06-12,0.003926454805512808,27,,,,,False
2023-06-13,-0.00015966602017523666,27,,,,,False
2023-06-14,0.01088582766377837,27,,,,,False
2023-06-15,-0.0032464584693731777,27,,,,,False
2023-06-16,0.006697664829792217,27,,,,,False
2023-06-19,-0.005445112023611165,27,,,,,False
2023-06-20,-0.0016342736389238323,27,,,,,False
2023-06-21,-0.00041951415910011113,27,,,,,False
2023-06-22,-0.004966179376475276,27,,,,,False
2023-06-23,-0.010403746380285754,27,,,,,False
2023-06-26,0.00034692778209919917,27,,,,,False
2023-06-27,0.009629241875132684,27,,,,,False
2023-06-28,0.007182834376230803,27,,,,,False
2023-06-29,0.004039138679619046,27,,,,,False
