date,y_reg_5d,y_cls_5d
2021-05-06,-0.001782889158926479,0
2021-05-07,0.0094920091065419,1
2021-05-10,0.0012349582768687068,1
2021-05-11,0.02165062902153239,1
2021-05-12,0.006969671393951437,1
2021-05-13,0.01747918903264774,1
2021-05-14,0.006365325571559603,1
2021-05-17,0.00543546024391384,1
2021-05-18,0.00269671704127851,1
2021-05-19,0.013817053034676216,1
2021-05-20,0.006750266660434735,1
2021-05-21,0.0022356140337658247,1
2021-05-24,-0.006167435337373115,0
2021-05-25,-0.0020653976814171125,0
2021-05-26,-0.0017630375013323338,0
2021-05-27,-0.004768453670868014,0
2021-05-28,-0.014885935700089174,0
2021-05-31,0.0016053757714063887,1
2021-06-01,-0.003936111052062458,0
2021-06-02,-0.002683194555093948,0
2021-06-03,-0.000941178853423245,0
2021-06-04,0.012758964178244944,1
2021-06-07,0.012740960218830205,1
2021-06-08,0.00838770459373727,1
2021-06-09,0.0050223259594214436,1
2021-06-10,0.006775978099168917,1
2021-06-11,-0.01912804753651551,0
2021-06-14,-0.025027425215567452,0
2021-06-15,-0.019405595894539752,0
2021-06-16,-0.02733112280306722,0
2021-06-17,-0.013333616395981199,0
2021-06-18,0.00710604482155991,1
2021-06-21,-0.015363166007737804,0
2021-06-22,-0.015382886070858727,0
2021-06-23,-0.014953546996961808,0
2021-06-24,-0.015750259980265236,0
2021-06-25,-0.020820010893723956,0
2021-06-28,0.003661819449972131,1
2021-06-29,-0.006109392533802839,0
2021-06-30,0.0037678670395497127,1
2021-07-01,-0.03210306223839418,0
2021-07-02,-0.0148157566708724,0
2021-07-05,-0.01460358789470389,0
2021-07-06,-0.018911908598761348,0
2021-07-07,-0.022407428470411328,0
2021-07-08,-0.014333236652254227,0
2021-07-09,-0.03129371207479264,0
2021-07-12,-0.06018733586608714,0
2021-07-13,-0.03950595932771042,0
2021-07-14,-0.01060076291439845,0
2021-07-15,0.01105625716851961,1
2021-07-16,0.024502775514239072,1
2021-07-19,0.05546924673845081,1
2021-07-20,0.040011925835572476,1
2021-07-21,0.019271515331612286,1
2021-07-22,0.01889981104406072,1
2021-07-23,-0.004772071112164508,0
2021-07-26,-0.0018820689638826497,0
2021-07-27,0.008424913542934205,1
2021-07-28,0.006755493760907029,1
2021-07-29,0.005697202675221941,1
2021-07-30,0.02316290131741864,1
2021-08-02,0.012164986866543626,1
2021-08-03,0.014282907470494901,1
2021-08-04,0.020587423057847058,1
2021-08-05,0.01604223779174516,1
2021-08-06,0.013513395115018685,1
2021-08-09,0.006823038272495027,1
2021-08-10,-0.0037489902248362345,0
2021-08-11,-0.0006240509926140701,0
2021-08-12,-0.008634649296992656,0
2021-08-13,-0.009433453174108064,0
2021-08-16,0.004638253361305858,1
2021-08-17,0.009307131168188097,1
2021-08-18,0.0008023574699359475,1
2021-08-19,-0.0010677217285833928,0
2021-08-20,0.0007736948528905002,1
2021-08-23,-0.011235733668743027,0
2021-08-24,-0.011463891560928608,0
2021-08-25,0.0015693350135191958,1
2021-08-26,0.009925078245886046,1
2021-08-27,-0.0065444448390628695,0
2021-08-30,0.0016224512470560258,1
2021-08-31,0.005399947926038884,1
2021-09-01,-0.017139857513877275,0
2021-09-02,-0.02033595906788083,0
2021-09-03,-0.019215502668035563,0
2021-09-06,-0.007480959436299774,0
2021-09-07,-0.01295670053616208,0
2021-09-08,-0.023269750244519695,0
2021-09-09,-0.007630728278369703,0
2021-09-10,0.00751605664738399,1
2021-09-13,-0.018396102299681003,0
2021-09-14,-0.0027372279864087377,0
2021-09-15,0.019835777132055084,1
2021-09-16,0.016263312646847355,1
2021-09-17,0.012725499927291349,1
2021-09-20,0.03936334229369776,1
2021-09-21,0.0015292538758430445,1
2021-09-22,0.008028175149221047,1
2021-09-23,-0.009121284641395113,0
2021-09-24,-0.008329282223439169,0
2021-09-27,-0.023738674239123528,0
2021-09-28,0.017856809298849894,1
2021-09-29,-0.011827261794063976,0
2021-09-30,0.018751500058452233,1
2021-10-01,0.017517133824546536,1
2021-10-04,0.012130794069042355,1
2021-10-05,0.0009516718937460188,1
2021-10-06,0.012052476865511093,1
2021-10-07,-0.004226328711720992,0
2021-10-08,0.0046791529223065296,1
2021-10-11,0.004149150892174303,1
2021-10-12,0.006736445256397386,1
2021-10-13,0.015252288103349358,1
2021-10-14,0.0021601083873419385,1
2021-10-15,-0.010121025143711751,0
2021-10-18,-0.0016911796161196352,0
2021-10-19,0.0005889359328838593,1
2021-10-20,-0.005069502629553902,0
2021-10-21,0.009070685257295028,1
2021-10-22,0.01684508296340504,1
2021-10-25,0.028913464242335783,1
2021-10-26,0.011498316590237399,1
2021-10-27,0.006498903763069054,1
2021-10-28,0.0015057224232292107,1
2021-10-29,0.008016120826057654,1
2021-11-01,-0.012249904821125547,0
2021-11-02,-0.0033882086575682973,0
2021-11-03,0.012216345800192617,1
2021-11-04,0.0058240808564305,1
2021-11-05,-0.005469094130032353,0
2021-11-08,0.002741354275057474,1
2021-11-09,-0.0038310841929582,0
2021-11-10,-0.016366262837400742,0
2021-11-11,-0.0210061399755844,0
2021-11-12,-0.03674290283936419,0
2021-11-15,-0.030632566540285924,0
2021-11-16,-0.02521520388623868,0
2021-11-17,-0.022648801315776686,0
2021-11-18,-0.007022059008544683,0
2021-11-19,-0.040866264093719185,0
2021-11-22,-0.04238756949407144,0
2021-11-23,-0.05959637887420234,0
2021-11-24,-0.03936817696570775,0
2021-11-25,-0.06303685343529648,0
2021-11-26,-0.019346448997662496,0
2021-11-29,-0.0018348737181468045,0
